numer,Adres,Granice obwodu
168,"Kraków-Krowodrza, Zwierzyniec ul. Senatorska 35","BORELOWSKIEGO-LELEWELA 19, KAŁUŻY, ŁOWIECKA 3, 5, ROTMISTRZA DUNIN-WĄSOWICZA nieparzyste do 19 i parzyste od 8 do 26, STACHOWICZA 3, 5, SYROKOMLI parzyste od 22 do 26, UJEJSKIEGO nieparzyste od 1 do 15, WŁÓCZKÓW parzyste od 20 do 22"
169,"Kraków-Krowodrza, Zwierzyniec ul. Senatorska 35","FAŁATA 2, 2a, 2b, FILARECKA, KRASZEWSKIEGO nieparzyste od 1 do 29 i parzyste od 2 do 16, ŁOWIECKA 2, 6, PRUSA nieparzyste od 1 do 15, SALWATORSKA nieparzyste od 1 do 7a, parzyste od 4 do 16, SENATORSKA nieparzyste od 1 do 21"
170,"Kraków-Krowodrza, Zwierzyniec ul. Senatorska 35","BORELOWSKIEGO-LELEWELA parzyste od 2 do 24, DOJAZDOWA, FLISACKA, JASKÓŁCZA, KOMOROWSKIEGO, KOŚCIUSZKI nieparzyste od 31 do 75 i parzyste od 14 do 86, PLAC NA STAWACH, SENATORSKA parzyste od 2 do 26, STACHOWICZA nieparzyste od 13 do 17"
171,"Kraków-Krowodrza, Zwierzyniec ul. Senatorska 35","BORELOWSKIEGO-LELEWELA nieparzyste od 3 do 17, KOŚCIUSZKI nieparzyste od 15 do 27, MORAWSKIEGO 5, STACHOWICZA parzyste od 2 do 14, SYROKOMLI parzyste od 2 do 20, TATARSKA, UJEJSKIEGO parzyste od 2a do 12, WŁÓCZKÓW parzyste od 2 do 18 i 11a"
172,"Kraków-Krowodrza, Zwierzyniec ul. Prusa 18","ALEJA KRASIŃSKIEGO parzyste od 4 do 32, KOŚCIUSZKI 1, 3, MORAWSKIEGO parzyste od 10 do 12, ROTMISTRZA DUNIN-WĄSOWICZA 2, 4, 6, SYROKOMLI nieparzyste od 1 do 25"
173,"Kraków-Krowodrza, Zwierzyniec ul. Prusa 18","ALEJA MARSZAŁKA FOCHA 14 i od 24 do 32, FAŁATA 4, 4/I, 4/II, 4/III, 4/2, 4/3, 6 i nieparzyste od 3 do 13, KRASZEWSKIEGO parzyste od 22 do 36, PRUSA nieparzyste od 17 do 39 i 28, 30, SALWATORSKA nieparzyste od 9 do 15, WYCZÓŁKOWSKIEGO od 2 do 8"
174,"Kraków-Krowodrza, Zwierzyniec ul. Prusa 18","ALEJA MARSZAŁKA FOCHA 34, 38b, nieparzyste od 35 do 39c, FAŁATA 12, 12d, 14, 14a, KASZTELAŃSKA, MLASKOTÓW, PRUSA parzyste od 2 do 18, SALWATORSKA nieparzyste od 17 do 35a i parzyste od 18 do 24, SENATORSKA nieparzyste od 23 do 43, WYCZÓŁKOWSKIEGO parzyste od 10 do 14"
175,"Kraków-Krowodrza, Zwierzyniec ul. Królowej Jadwigi 78","ALEJA MAŁECKIEGO, DOKTORA KUDLIŃSKIEGO, DOKTORA OWCY-ORWICZA, DROŻYNA, EMAUS (bez 51, 53, 55, 57), FABIJAŃSKICH, GANDHIEGO, GRYFITY, HOFMANA, KOPIEC KOŚCIUSZKI, KORZENIOWSKIEGO, KRÓLOWEJ JADWIGI nieparzyste od 1 do 153c i parzyste od 4 do 184, LESZCZYNOWA, LUDWIKA WĘGIERSKIEGO, MALCZEWSKIEGO nieparzyste od 3 do 11 i parzyste od 4 do 12, ODYŃCA, PANORAMICZNA, PIASTOWSKA nieparzyste od 1 do 15 i parzyste od 2 do 10, PRZEGON, ROMERA, SAWICKIEGO, SŁONECZNIKOWA, TONDOSA, ZAŚCIANEK, ZIMORODKÓW"
176,"Kraków-Krowodrza, Zwierzyniec ul. Królowej Jadwigi 78","ALEJA WASZYNGTONA, ANCZYCA, BENEDYKTOWICZA, BIAŁE WZGÓRZE, DO PRZYSTANI, GONTYNA, KOŚCIUSZKI 88, KSIĘCIA JÓZEFA nieparzyste od 1 do 115 i parzyste od 6 do 54a, MALCZEWSKIEGO 47a, POLNYCH KWIATÓW, ŚWIĘTEJ BRONISŁAWY, UKRYTA, WIOŚLARSKA, WODOCIĄGOWA"
177,"Kraków-Krowodrza, Zwierzyniec al. Modrzewiowa 23","28 LIPCA 1943, BĄKOWSKIEGO, BERBERYSOWA, BIELAKA, BOROWEGO, CEDROWA, CIECHANOWSKIEGO, CZEREMCHOWA, EMAUS 51, 53, 55, 57, KOŁO STRZELNICY, KOPERY, KORBUTOWEJ, KRÓLOWEJ JADWIGI nieparzyste od 155 do 213 i parzyste od 186 do 246, KRZYWICKIEGO, LAJKONIKA, LISIA, MRÓWCZANA, MYDLNICKA 12, 20, NASZA, PĘKSZYCA-GRUDZIŃSKIEGO, POD SIKORNIKIEM, POD SULNIKIEM, PODŁĄCZE, PONIEDZIAŁKOWY DÓŁ, PORĘBA, ROBLA, ROGALSKIEGO, STAROWOLSKA, STRZELNICA, WYROBKA, WYRWY-FURGALSKIEGO, ZŁOTA"
178,"Kraków-Krowordza, Zwierzyniec al. Modrzewiowa 23","AGRESTOWA, ALEJA DO KOPCA, ALEJA KASY OSZCZĘDNOŚCI MIASTA KRAKOWA, ALEJA KASZTANOWA nieparzyste od 1 do 43 i parzyste od 4 do 52, ALEJA MODRZEWIOWA (bez 22), ALEJA PANIEŃSKICH SKAŁ, ALEJA PUSTELNIKA, ALEJA SOSNOWA, ALEJA ŻUBROWA, ASTRONOMÓW, BODZISZKOWA, CISOWA, DOLINA, ESTREICHERÓW, GRABOWA nieparzyste, HALKI, JELENIOWA, JESIONOWA, JONTKOWA GÓRKA, KOGUCIA, KOPALINA, KOTLARCZYKÓW, KRAŃCOWA, KRÓLOWEJ JADWIGI nieparzyste od 215 do 277C i parzyste od 248 do 330, KUKUŁCZA, LEŚNA, ŁAZARSKIEGO, MIGDAŁOWA, MORELOWA, NA WIERZCHOWINACH, NAD ZALEWEM 1, 1a, 8, NITSCHA, SARNIE UROCZYSKO, ŚWIERKOWA"
179,Kraków ul. Skośna 8,"BURGUNDZKA, GWIEŹDZISTA, KOBIERZYŃSKA nieparzyste od 165 i parzyste od 144, KOSZARÓWKA, NORMANDZKA, OBOZOWA nieparzyste od 1 do 45f, parzyste do 24c, PROFESOR BIENIARZÓWNY, PUŁKOWNIKA SPYCHALSKIEGO, SKOŚNA, SZUWAROWA 1, 3, 4, WANDEJSKA, ZAWIŁA nieparzyste od 51"
180,Kraków ul. Skośna 8,"OBOZOWA nieparzyste od 53 do 63, parzyste od 28 do 78b"
181,Kraków ul. Skośna 8,"CHMIELENIEC, SZUWAROWA 5, 6, 7, 8"
182,Kraków ul. Skośna 8,"CZERWONE MAKI, LUBOSTROŃ, SZWAI"
183,Kraków ul. Skośna 8,PROFESORA BOBRZYŃSKIEGO
184,Kraków ul. Skośna 8,"BIESIADNA, BISKUPA MAŁYSIAKA parzyste, DOKTORA BABIŃSKIEGO nieparzyste od 15A do 43C (bez 25, 29) i parzyste do 52, DOKTORA PILTZA, KOLISTA, KRUMŁOWSKIEGO, KWIECISTA, MACIERZANKI, SPACEROWA nieparzyste od 9 (bez 27) i parzyste, TYMOTKOWA, ZAMIEJSKA"
185,Kraków ul. Pszczelna 13,"DRUKARSKA, GUTENBERGA, JAHODY, PROFESORA WIŚNIEWSKIEGO, PRZEMIARKI, ZACHODNIA, ZALESIE nieparzyste od 39 i parzyste od 20"
186,Kraków ul. Pszczelna 13,"BUŁGARSKA, DERENIOWA, KROKUSOWA, LIŚCIASTA, ŁANY, PASTELOWA, PODHALAŃSKA nieparzyste, PSZCZELNA, RUCZAJ nieparzyste od 17 do 45 i parzyste od 22 do 62b, SĄSIEDZKA, TURONIA nieparzyste, ZBROJARZY nieparzyste od 85"
187,Kraków ul. Pszczelna 13,"KOBIERZYŃSKA nieparzyste od 141 do 163 i parzyste od 128 do 142A, MAGNOLII, OBOZOWA nieparzyste od 75, PRZYZBY, RACIBORSKA, STUDZIANKI, TORFOWA, ZALESIE nieparzyste od 1 do 37 i parzyste od 2 do 18"
188,Kraków ul. Pszczelna 13,KOBIERZYŃSKA nieparzyste od 91 do 139B i parzyste od 104 do 126
189,Kraków ul. Pszczelna 13,GROTA ROWECKIEGO nieparzyste od 35 do 49
190,Kraków ul. Pszczelna 13,"GRONOSTAJOWA, GROTA ROWECKIEGO nieparzyste od 49A do 57"
191,Kraków ul. Skotnicka 86,"BACZYŃSKIEGO, BALANÓWKA, BARYCZA, BRŰCKNERA, BUNSCHA, DOBROWOLSKIEGO, DOKTORA BABIŃSKIEGO od 53, GENERAŁA KARCZA, GRZEGORZEWSKIEJ, HARCMISTRZA ORSZY-BRONIEWSKIEGO, HUFCOWA, JASIENICY, KOZIENICKA, KSIĘDZA WUJKA, ŁUKOWIEC, OBROŃCÓW TOBRUKU, OJCA BOCHEŃSKIEGO, PASKA, PORFIROWA, ROSISTA, SKOTNICKA nieparzyste od 69 do 229 i parzyste od 88 do 250, STARZYŃSKIEGO, SZEROKIE ŁĄKI, SZYMONOWICA, UNRUGA 106"
192,Kraków ul. Skotnicka 86,"BATALIONÓW CHŁOPSKICH, BRATERSTWA BRONI, CZWARTAKÓW, DOMOWA, DWORSKI OGRÓD, FEDEROWICZA, KRAJOBRAZOWA, KRESOWA, KRÓLÓWKA, MAJORA SŁABEGO, MOCHNANIEC, OBROŃCÓW HELU, PODOLE, PORUCZNIKA EMIRA, SKOTNICKA nieparzyste od 1 do 67 i parzyste od 2 do 86b, UNRUGA (bez 106), WINNICKA, ZAMGLONA, ZELWEROWICZA"
193,Kraków ul. Wrony 115,"BŁOTNISKA, CHLEBICZNA, DZIAŁOWSKIEGO, HOLLENDRA, KOCHMAŃSKIEGO, KOŁACZKOWSKIEGO, KSIĘDZA TROCKIEGO, MEDALIONÓW, NA KLIŃCU, NAŁKOWSKIEJ, PETRAŻYCKIEGO parzyste od 62 i nieparzyste od 41, PODGÓRKI TYNIECKIE od 1 do 23, PRAŻMOWSKIEGO, PROFESORA OPAŁKA, RADŁOWA, SAPALSKIEGO, SKOTNICKA parzyste od 252 i nieparzyste od 231, SOLÓWKI nieparzyste, TOPOGRAFÓW, TRETÓWKA, WALTERA, WAPOWSKIEGO, WARCHAŁOWSKIEGO, WRONY, ZAGUMNIE, ZIENTARY, ŻYZNA"
194,Kraków ul. Dziewiarzy 7,"BENEDYKTYŃSKA, BOGUCIANKA od 1 do 41, BOLESŁAWA ŚMIAŁEGO, BROWARNIANA, DZIEWIARZY, FEDKOWICZA, HELIGUNDY, LUTEGO TURA, NAD CZERNĄ, OBRONY TYŃCA, PROMOWA, SKOŁCZANKA, SZCZYGIELSKIEGO, ŚWIĘTOJAŃSKA, TOPORCZYKÓW, ZAGÓRZE"
195,Kraków ul. Dziewiarzy 7,"BAGIENNA, BOGUCIANKA od 42, BÓR, DANUSI JURANDÓWNY, GRODZISKO, JANASÓWKA, JURANDA ZE SPYCHOWA, MAĆKA Z BOGDAŃCA, PODGÓRKI TYNIECKIE od 24 (bez 96), STĘPICE, WALGIERZA WDAŁEGO, WIELOGÓRSKA, ZAKLEŚNIE"
196,Kraków ul. Tyniecka 122,"BOBROWA, BODZOWSKA, BOJANÓWKA, BRZASK, DĄBROWA, FALISTA, FOSA, GRANITOWA, GRONOWA, JACHIMECKIEGO, KAKTUSOWA, KOLARZY, KOLNA, KOSTRZECKA, KRZEWOWA, NIERÓWNA, OSIEDLE SREBRNE UROCZYSKO, PROFESORA ŚLASKIEGO, PUSTELNIA, TYNIECKA nieparzyste od 137 i parzyste od 118i, WIDŁAKOWA nieparzyste od 13 i parzyste od 10, WIELKANOCNA, ZACIERNIE"
197,Kraków ul. Ćwikłowa 1,"BAŻANKI, ĆWIKŁOWA, JEMIOŁOWA, OSIEDLE FELCZAKA, RODZINNA, SKALICA, SŁOŃSKIEGO, ŚWIĘTEGO PIOTRA, TYNIECKA nieparzyste od 47 do 135 i parzyste od 46 do 118h, WIDŁAKOWA nieparzyste od 1 do 11 i parzyste od 2 do 8n, WZGÓRZE, ZAKRZOWIECKA do 43E"
198,Kraków ul. Ćwikłowa 1,"EKIELSKIEGO, HARASYMOWICZA, KRASOWA, KSIĘŻARSKIEGO, MORACZEWSKIEGO, NA LESZCZU, ODRZYWOLSKIEGO, POKUTYŃSKIEGO, PRYLIŃSKIEGO, PRZEŁOM, SODOWA, TALOWSKIEGO, ZAKRZOWIECKA od 45 do 63"
199,Kraków ul. Praska 64,"DO GROTY, ŁOSIÓWKA, PATYNÓW, PIETRUSIŃSKIEGO, PRASKA nieparzyste od 27 i parzyste od 52, TYNIECKA od 23 do 45, ZIELNA nieparzyste od 107"
200,Kraków ul. Monte Cassino 31,"BIAŁA DROGA, BOCZNA, BUŁHAKA, CZARODZIEJSKA, CZECHOSŁOWACKA, DĘBNICKA, DWORSKA, GENERAŁA ZIELIŃSKIEGO, JAWOROWA, KAPELANKA 1, 1a, KSIĘDZA PAWLICKIEGO, MIESZCZAŃSKA, MITKOWSKIEGO, MONTE CASSINO, NOWACZYŃSKIEGO (bez 1), OBROŃCÓW POCZTY GDAŃSKIEJ, PRASKA nieparzyste od 1 do 23 i parzyste od 2 do 50, SZWEDZKA nieparzyste od 1 do 49 i parzyste od 36 do 50, TWARDOWSKIEGO od 1 do 67, TYNIECKA od 10a do 21, WIERZBOWA, WYGRANA, ZAGONÓW, ZIELNA nieparzyste od 31 do 105 i parzyste"
201,Kraków ul. Monte Cassino 31,"CEGLARSKA, KAPELANKA nieparzyste od 23 do 29 i parzyste od 2 do 42B, SALEZJAŃSKA, ŚWIĘTEGO JACKA, TWARDOWSKIEGO od 68, WYŁOM"
202,Kraków ul. Skwerowa 3,"BAŁUCKIEGO, DĘBOWA, KONFEDERACKA, PUŁASKIEGO nieparzyste od 7 i parzyste od 10, ROLNA, SKWEROWA, SZWEDZKA parzyste od 2 do 34, TYNIECKA od 1 do 10, WASILEWSKIEGO, ZAGRODY, ZIELNA nieparzyste od 1 do 29"
203,Kraków ul. Skwerowa 3,"BARSKA nieparzyste od 1 do 45 i parzyste od 2 do 42, KILIŃSKIEGO, KONOPNICKIEJ nieparzyste od 1 do 45 i parzyste od 2 do 36, MADALIŃSKIEGO, POWROŹNICZA, PUŁASKIEGO nieparzyste od 1 do 5 i parzyste od 2 do 8, RÓŻANA, RYNEK DĘBNICKI, SANDOMIERSKA, ZAMKOWA, ZDUŃSKA"
204,Kraków ul. Lipińskiego 2,KOBIERZYŃSKA parzyste od 16 do 102
205,Kraków ul. Lipińskiego 2,"KAPELANKA nieparzyste 39 i od 57 i parzyste od 44, LIPIŃSKIEGO, MIŁKOWSKIEGO, STRĄKOWA nieparzyste"
206,Kraków ul. Lipińskiego 2,"GROTA ROWECKIEGO nieparzyste od 11 do 29, PYCHOWICKA"
207,Kraków ul. Lipińskiego 2,"GROTA ROWECKIEGO 31, KAMIENIARSKA, KOBIERZYŃSKA nieparzyste od 1 do 89, NORYMBERSKA do 11, PROFESORA ŁOJASIEWICZA, ROSTWOROWSKIEGO"
208,Krakówi ul. Komandosów 29,"BARSKA nieparzyste od 47 i parzyste od 44, KOMANDOSÓW nieparzyste od 11 do 29, KONOPNICKIEJ nieparzyste od 47 do 69, LUDWINOWSKA, NA USTRONIU, SWOBODA, TURECKA, ZATORSKA"
209,Kraków ul. Komandosów 29,KOMANDOSÓW od 1 do 9
210,Kraków ul. Komandosów 29,"KOMANDOSÓW parzyste od 10 do 18, SŁOMIANA nieparzyste od 1 do 15, SZWEDZKA od 51"
211,Kraków ul. Komandosów 29,SŁOMIANA parzyste od 2 do 24
212,Kraków ul. Komandosów 29,"KAPELANKA nieparzyste od 3 do 15a, ROZDROŻE, SŁOMIANA nieparzyste od 19"
213,Kraków ul. Montwiłła-Mireckiego 29,"DEKARZY, FALOWA, GAJOWA, GOPLANA, HUCULSKA, IRYSOWA, LUDWISARZY, ŁUKASIŃSKIEGO, MICIŃSKIEGO, MŁYNOWA, PIASECKIEGO, RUCZAJ nieparzyste od 1 do 15g i parzyste od 2 do 20, ŚWIATOWIDA, ŚWIEBODZICKA, TOKARSKA, TURONIA parzyste, TYNKARZY, ZABORZE, ZBROJARZY nieparzyste od 1 do 83 i parzyste, ZDUNÓW od 19"
214,Kraków ul. Montwiłła-Mireckiego 29,"CHŁODNA, KOŚCIUSZKOWCÓW, KOWALSKA, KROCHMALNIKI, MIŁA, MONTWIŁŁA-MIRECKIEGO, NA ZRĘBIE, NIECAŁA, NIEMCEWICZA, NOWOGRÓDZKA, OBOZOWA 116, 118, 120, OKRZEI, PODHALAŃSKA parzyste, RYNEK FAŁĘCKI, TĘCZOWA, ZAKOPIAŃSKA nieparzyste od 73 do 97, ZDUNÓW od 1 do 18H, ŻYWIECKA od 1 do 11"
215,Kraków ul. Niecała 8,"BORKOWSKIE BŁONIA, CESARZA, DOKTORA ŁUCZYŃSKIEGO, DRUHNY HANKI, KRĘPY, KSIĘDZA KARABUŁY, KSIĘDZA ZAGRODZKIEGO, KUŁAKOWSKIEGO, SOLVAYA, STARCA, SZCZERBIŃSKIEGO, ZIOBROWSKIEGO, ŻYWIECKA nieparzyste od 13 i parzyste od 50"
216,Kraków ul. Niecała 8,"GORYCZKOWA, JAGODOWA nieparzyste od 11 do 19 i parzyste od 2 do 12, KĘPNA, ŻYWIECKA parzyste od 12 do 48"
217,Kraków ul. Zakopiańska 62,"HERBERTA 8, 10, 12, 14, JELENIOGÓRSKA, JUGOWICKA parzyste, MARCIKA, MODRA, ORZECHOWA, OSIEDLE ZAUŁEK JUGOWICKI, PODMOKŁA, SIELSKA, ZAKOPIAŃSKA nieparzyste od 99 do 145 i parzyste od 54 do 86, ZAWIŁA nieparzyste od 1 do 49"
218,Kraków ul. Fredry 65,"FREDRY nieparzyste do 33 i parzyste do 38, GENERAŁA ROI 4, 4A, 4B, 6, GOSLARA, HARCERSKA, KSIĘDZA TISCHNERA 8, KURASIA, LECHICKA, MALUTKA, NA GRZĄDKACH, OGRODNIKI, PASIECZNA, PRZY TORZE, UROCZA, WŁODARSKA, ZAKOPIAŃSKA parzyste od 2 do 34"
219,Kraków ul. Fredry 65,"CHOCHOŁOWSKA, DO SANKTUARIUM BOŻEGO MIŁOSIERDZIA, FREDRY nieparzyste od 35 i parzyste od 42, HARCMISTRZA MILLANA nieparzyste od 1 do 19 i parzyste od 2 do 24, KOŁODZIEJSKA, KRYSZTAŁOWA, KWIETNA, MOTARSKIEGO, MYŚLENICKA 4, 4A, 6, 10, 17, 24, 26, PIERZCHÓWKA parzyste do 12, POCZTOWA, POŁOMSKIEGO 3, PORUCZNIKA WĄCHAŁY, PRZYKOPY 2, RATAJSKA, SIOSTRY FAUSTYNY, SOBÓTKA, SOWIA, STRUMIENNA nieparzyste do 19 i parzyste do 14, SUCHA, ŚWIĘTEGO BRATA ALBERTA, TOTUS TUUS, ŻMICHOWSKIEJ"
220,Kraków ul. Brożka 3,"BOGDANOWICZA, BORSUCZA 1, 3, 3a i parzyste od 2 do 8, BROŻKA parzyste, CEGIELNIANA nieparzyste od 1 do 45, KĘDZIERZYŃSKA, KOŁOBRZESKA, KOSZALIŃSKA, LASEK, NOWOTARSKA, PIENIŃSKA, PLAC ŁAGIEWNICKI, SŁUPSKA, SZANIAWSKIEGO, WAŁBRZYSKA, ZIELONOGÓRSKA"
221,Kraków ul. Zakopiańska 9,"CEGIELNIANA parzyste od 2, CIESIELSKA, DEOTYMY, DO WILGI, HOFFMANOWEJ, ORACZY, ZAKOPIAŃSKA nieparzyste od 1 do 71"
222,Kraków ul. Strąkowa 3A,"BORSUCZA nieparzyste od 5 i parzyste od 10, CEGIELNIANA nieparzyste od 47, KUSOCIŃSKIEGO, ODRZAŃSKA, STRĄKOWA parzyste"
223,Kraków ul. Sztaudyngera 5,"BARYCKA, BEDNARSKA 13L, BLACHARSKA, GACKI, GĄSIOROWSKIEGO, GRUSZCZYŃSKIEGO nieparzyste od 1 do 31 i parzyste od 2 do 42, HALLERA nieparzyste od 9 i parzyste od 16, HARCERZY KRAKOWSKICH, HOBORSKIEGO, KOSOCICKA 73, 75, 75a, 75b, 79, KOSZUTKI, KRZEMIENIECKA nieparzyste od 35 i parzyste od 34, LANDE, NIEBIESKA od 11, OSTERWY nieparzyste od 1 do 19a i parzyste od 2 do 16, PAWŁOWSKIEGO, SCZANIECKIEJ, SZCZEGÓW, SZTAUDYNGERA, ŻELAZOWSKIEGO"
224,Kraków ul. Kuryłowicza 115,"BERDYCZOWSKA, CHANIECKIEJ, DRUŻBACKIEJ, GEOLOGÓW, GOMBROWICZA, GRUSZCZYŃSKIEGO nieparzyste od 33 i parzyste od 44, JAROCKIEGO, JASIUKOWICZA, KRZEMIENIECKA nieparzyste od 1 do 33 i parzyste od 2 do 32, KUKIEŁEK GOLKOWICKICH, KURYŁOWICZA nieparzyste od 71 i parzyste od 52, MALINOWSKIEGO, NA OBRYDKI, PAJDAKA, RATAJSKIEGO, SCHŐNBORNA"
225,Kraków ul. Tuchowska 113,"BEŁZY, DO LUBONI od 61, DROGA ROKADOWA, GDOWSKA, GOLKOWICKA, GRAWERSKA, KENARA nieparzyste od 1 do 35a i parzyste od 2 do 18, KURYŁOWICZA nieparzyste od 1 do 69 i parzyste od 2 do 50, LANDAUA nieparzyste, MATEMATYKÓW KRAKOWSKICH nieparzyste od 1 do 27a, MIAROWA nieparzyste od 37 i parzyste od 20, NA POKUSIE, NAD FOSĄ, ORSZAŃSKA, OSTERWY nieparzyste od 21 i parzyste od 18, RYTOWNICZA, SZCZAWNICKA, TUCHOWSKA nieparzyste od 41 i parzyste od 50"
226,Kraków ul. Matematyków Krakowskich 102,"GOŁĄBA, LEI, MATEMATYKÓW KRAKOWSKICH nieparzyste od 57 i parzyste od 26, OPIALA, SZARSKIEGO, ZBYDNIOWICKA"
227,Kraków ul. Mirtowa 2,"BOGDANOWSKIEGO, CHAŁUBIŃSKIEGO nieparzyste od 85 i parzyste od 104, CZUCHNOWSKIEGO, DOROSZEWSKIEGO, DRÓŻKA, FAMILIJNA, GILOWA, HERBOWA, IWASZKIEWICZA, KENARA nieparzyste od 37 i parzyste od 20, KOŹMIANA, KSIĘDZA KAJZERA, LANDAUA parzyste, ŁYSOGÓRSKA, MATEMATYKÓW KRAKOWSKICH parzyste od 2 do 24, MIRTOWA, MYŚLENICKA nieparzyste od 189 i parzyste od 164, NIEWODNICZAŃSKIEGO od 1 do 39a, PARAFIALNA, PROFESORA BOCHNAKA, SYREŃSKIEGO, WRÓBLOWICKA nieparzyste od 11 i parzyste od 8"
228,Kraków ul. Niewodniczańskiego 74,"ALEKSANDROWICZA, CHRZANOWSKIEGO, GOŚCINNA, GRZEPSKIEGO, KRZYŻAŃSKIEGO, NIEWODNICZAŃSKIEGO od 40, NOWICKIEGO"
229,Kraków ul. Myślenicka 112,"BABIEGO LATA (bez 24), BOROWINOWA, CHAŁUBIŃSKIEGO nieparzyste od 1 do 83 i parzyste od 2 do 102, CZYRNIAŃSKIEGO, DRUSKIENNICKA, KĄPIELOWA nieparzyste od 11 i parzyste od 12, KRZYŻANOWSKIEGO, LASOGÓRSKA, LUSIŃSKA, ŁOBODOWSKIEGO, MOSZYŃSKIEGO, MUSZYŃSKIEGO, NEUSSERA, PIŁKARSKA, PYTLASIŃSKIEGO, RABCZAŃSKA, SANATORYJNA, STAROWIEJSKA od 12, WCZASOWA, WYPOCZYNKOWA"
230,Kraków ul. Myślenicka 112,"GORCZYNA, HYPTY, IWONICKA, JAR, JELSKIEGO, JEŹDZIECKA, KORCZYŃSKIEGO, KOTOWSKIEGO, LECZNICZA, MERKURIUSZA POLSKIEGO, MIAROWA nieparzyste od 1 do 35b i parzyste od 2 do 16a, MICHALIKA, MOCZYDŁO, MOROZEWICZA, MYŚLENICKA nieparzyste od 79 do 187 i parzyste od 62 do 162, NAŁĘCZOWSKA, NIEDŹWIEDZINY, OPALIŃSKIEGO, PERŁOWA, PINOCCI, PODGÓRKI, PODHALNIE, PRZYRODNICZA, RYMANOWSKA, SAWICZEWSKICH, SIARCZANOGÓRSKA, SIARCZKI, SOBONIOWICKA, SRZEDNICKIEGO, STAWISKO, STEPOWA, SZYBISKO, TOPIARNIA, TRUSKAWIECKA, UZDROWISKOWA, WARSZEWICZA, WIERCHOWA, WRÓBLOWICKA nieparzyste od 1 do 9 i parzyste od 2 do 6, WYRWA, WYŻYNNA 25 i parzyste od 12F, ZARUSKIEGO, ZDROJOWA"
231,Kraków ul. Armii Kraków 76,"ARMII KRAKÓW, BIAŁOSTOCKA, BIESZCZADZKA, CIECHOCIŃSKA, CIEPŁA, CIOŁKOSZA, GOŹDZIKOWA, HORAKA, HUBALCZYKÓW, JASIELSKA, JUGOWICKA nieparzyste, KALISKA, KĄPIELOWA nieparzyste od 1 do 9 i parzyste od 2 do 10, KIERZKOWSKIEGO, KOKOSOWA, KOLEJARZY, KROŚNIEŃSKA, KUSTRONIA, NOWODWORSKIEGO, OWOCOWA, SIARCZANA, SZUMCA, SZYLLINGA, TULIPANOWA, ZAKOPIAŃSKA parzyste od 88 do 194"
232,Kraków ul. Dr Judyma 10,"BORKOWSKA, CZOŁGISTÓW, KADŁUBKA, KLUKA, NENKO, WICHROWA, ŻAKÓW KRAKOWSKICH"
233,Kraków ul. Dr Judyma 10,"BASTIONOWA, BLUSZCZOWA, CZAJKOWSKIEGO, DĘBICKIEGO, FAŁĘCKA, JANOWSKIEGO, KSIĘŻYCOWA, MARUSARZÓWNY, NARVIK, PUSTYNNA, SIOSTRY ZIMMER, SKRZETUSKIEGO, SZMARAGDOWA, ZAWIŁA parzyste"
234,Kraków ul. Dr Judyma 10,"KORPALA parzyste od 22, MIECZYKOWA, PROFESORA BARTLA nieparzyste, WAROWNA"
235,Kraków ul. Dr Judyma 10,"AMARANTOWA, BANACHIEWICZA, BELLERTA, BORATYŃSKIEGO, CHĘCIŃSKA, CHOJNICKA, CIECHANOWSKA, CZERSKA, DOKTORA JUDYMA, EIBISCHA, FORTECZNA, GADOMSKIEGO, GAŁĘZOWSKIEGO, GUMOWSKIEGO, HOMOLACSA, KĘPIŃSKIEGO, KOPERNICKIEGO, KOSTRZEWSKIEGO, KRZYŻTOPORSKA, KSIĘDZA DERCZA, KSIĘDZA MĄCZYŃSKIEGO, KWIATOWA, ŁÓDZKA, MAKLAKIEWICZA, MIODOŃSKIEGO, PRONASZKÓW, RABSZTYŃSKA, RADNICKIEGO, RDZAWA, RUTKOWSKIEGO, TOCHOWICZA, UMIŃSKIEJ, WACHHOLZA, WELOŃSKIEGO, ZAGAJE, ZAKOPIAŃSKA nieparzyste od 147 do 181e, ZAWISZY"
236,Kraków ul. Biskupa Małysiaka 1,"ANUSI, ARKTYCZNA, BABINICZA, BILLEWICZÓW, BISKUPA MAŁYSIAKA nieparzyste, BRACI KIEMLICZÓW, BUTRYMÓW, CENTKIEWICZÓW, DĘBOROGA, DOKTORA BABIŃSKIEGO nieparzyste do 15, DROZDOWSKICH, GALAKTYCZNA, KAMIENIECKA, KETLINGA, KOMUNY PARYSKIEJ, KORPALA od 1 do 20, KRYMSKA, LAUDAŃSKA, ORLEAŃSKA, PAWŁA Z KROSNA, POD DĘBAMI, POD STRUGĄ, POLARNA, PROFESORA BARTLA parzyste, PROFESORA CZEPPE, PROFESORA GEREMKA, PROFESORA WICHERKIEWICZA, SIDZIŃSKA, SOROKI, SPACEROWA nieparzyste do 5a, 27, ZAPOROSKA, ZBARASKA"
