Nr,Siedziba,Typ,,Granice obwodu głosowania
169,"Szkoła Podstawowa Nr 53, Kraków Skośna 8",Powszechny,Nie,"Anusi, Babinicza, Billewiczów, Braci Kiemliczów, Burgundzka, Butrymów, Dęboroga, Gwieździsta, Kamieniecka, Ketlinga, Kobierzyńska nieparzyste od 165 i parzyste od 144, Korpala od 1 do 20, Koszarówka, Krymska, Laudańska, Normandzka, Obozowa nieparzyste od 1 do 63,parzyste nr 2,8,12,16,16a,20,22,22a,24,24a,b,c,38,38a, Pod Dębami, Pod Strugą, Profesora Bartla (bez nr 19,19a,19b,19c), Profesor Bieniarzówny, Profesora Wicherkiewicza, Pułkownika Spychalskiego, Skośna, Soroki, Wandejska, Zaporoska, Zawiła nieparzyste od 51 i parzyste od 42, Zbaraska"
170,"Szkoła Podstawowa Nr 53, Kraków Skośna 8",Powszechny,Nie,"Chmieleniec, Czerwone Maki 55,69,71,73,82,84, Lubostroń, Profesora Bobrzyńskiego, Szwai, Szuwarowa"
171,"Szkoła Podstawowa Nr 53, Kraków Skośna 8",Powszechny,Nie,"Arktyczna, Biedronki, Biesiadna, Centkiewiczów, Doktora Babińskiego od 1 do 28 ( bez 25) , 29/2, 29/19, 29/20, 29/21, 29/22, 29/22A, 29/23, 29/24, 29/25,29/26, 29/27, 29/29,29/30, 29/31, 29/32, 29/37, 29/44,29/45, 29/45A,29/VC oraz od 30 do 52 , Doktora Piltza, Drozdowskich, Kolista, Komuny Paryskiej, Krumłowskiego, Kwiecista, Macierzanki, Orleańska,Pawła z Krosna, Polarna, Profesora Czeppe, Sidzińska, Spacerowa, Tymotkowa, Zamiejska"
172,"Szkoła Podstawowa Nr 40, Kraków Pszczelna 13",Powszechny,Nie,"Drukarska, Gutenberga, Jahody, Profesora Wiśniewskiego, Przemiarki, Zachodnia, Zalesie nieparzyste od 39 i parzyste od 20,"
173,"Szkoła Podstawowa Nr 40, Kraków Pszczelna 13",Powszechny,Nie,"Bułgarska, Dereniowa, Kobierzyńska nieparzyste od 141 do 163 i parzyste od 128 do 142, Krokusowa, Liściasta, Łany, Magnolii, Obozowa nieparzyste od 75, Pastelowa, Podhalańska nieparzyste, Pszczelna, Raciborska, Ruczaj nieparzyste od 21 do 45 i parzyste od 22 do 54, 62 a, Sąsiedzka, Studzianki, Torfowa, Turonia nieparzyste, Zalesie nieparzyste od 1 do 37 , parzyste od 2 do 18 , Zbrojarzy nieparzyste od 85"
174,"Szkoła Podstawowa Nr 40, Kraków Pszczelna 13",Powszechny,Nie,"Kobierzyńska nieparzyste od 91 do 139 A,B i parzyste od 104 do 126"
175,"Szkoła Podstawowa Nr 40, Kraków Pszczelna 13",Powszechny,Nie,"Gronostajowa, Grota Roweckiego 40 i nieparzyste od 35"
176,"Szkoła Podstawowa Nr 66, Kraków Skotnicka 86",Powszechny,Nie,"Baczyńskiego, Balanówka, Brűcknera, Dobrowolskiego, Doktora Babińskiego od 53, Domowa, Grzegorzewskiej, Harcmistrza Orszy-Broniewskiego, Hufcowa, Jasienicy, Karola Bunscha, Kozienicka, Księdza Wujka, Łukowiec, Obrońców Tobruku, Ojca Bocheńskiego, Paska, Porfirowa, Rosista, Skotnicka nieparzyste od 69 do 229 i parzyste od 88 do 250, Starzyńskiego, Szerokie Łąki, Szymonowica, Unruga 106"
177,"Szkoła Podstawowa Nr 66, Kraków Skotnicka 86",Powszechny,Nie,"Batalionów Chłopskich, Braterstwa Broni, Czwartaków, Dworski Ogród, Krajobrazowa, Kresowa, Królówka, Majora Słabego, Mochnaniec, Obrońców Helu, Porucznika Emira, Skotnicka nieparzyste od 1 do 67 i parzyste od 2 do 86 b, Unruga (bez 106), Winnicka, Zelwerowicza"
178,"Szkoła Podstawowa Nr 133, Kraków Wrony 115",Powszechny,Nie,"Błotniska, Chlebiczna, Działowskiego, Hollendra, Kochmańskiego, Kołaczkowskiego, Medalionów, Na Klińcu, Nałkowskiej, Petrażyckiego parzyste od 56 i nieparzyste od 41, Podgórki Tynieckie od 1 do 23, Prażmowskiego, Profesora Opałka, Radłowa, Sapalskiego, Skąpskiego, Skotnicka parzyste od 252 i nieparzyste od 231, Solówki nieparzyste, Topografów, Tretówka, Wapowskiego, Warchałowskiego, Wrony, Zagumnie, Zientary, Żyzna"
179,"Tyniecki Klub Kultury, Kraków Dziewiarzy 7",Powszechny,Nie,"Bagienna, Benedyktyńska, Bogucianka, Bolesława Śmiałego, Browarniana, Bór, Danusi Jurandówny, Dziewiarzy, Fedkowicza, Grodzisko, Heligundy, Janasówka, Juranda ze Spychowa, Lutego Tura, Maćka z Bogdańca, Nad Czerną, Obrony Tyńca, Podgórki Tynieckie od 24 (bez 96), Promowa, Skołczanka, Stępice, Świętojańska, Szczygielskiego, Toporczyków, Walgierza Wdałego, Wielogórska, Zagórze, Zakleśnie"
180,"Szkoła Podstawowa Nr 54, Kraków Tyniecka 122",Powszechny,Nie,"Brzask, Bobrowa, Bodzowska, Bojanówka, Dąbrowa, Falista, Fosa, Granitowa, Gronowa, Jachimeckiego, Kaktusowa, Kolarzy, Kolna, Kostrzecka, Krzewowa, Nierówna, Profesora Ślaskiego, Pustelnia, Tyniecka nieparzyste od 137 i parzyste od 118 f, Widłakowa nieparzyste od 13 i parzyste od 10, Wielkanocna, Zaciernie"
181,"Szkoła Podstawowa Nr 62, Kraków Ćwikłowa 1",Powszechny,Nie,"Bażanki, Ćwikłowa, Ekielskiego, Harasymowicza, Jemiołowa, Krasowa, Księżarskiego, Moraczewskiego, Na Leszczu, Odrzywolskiego, Pokutyńskiego, Prylińskiego, Przełom, Rodzinna, Skalica, Słońskiego, Sodowa, Świetlana, Świętego Piotra, Talowskiego, Tyniecka nieparzyste od 47 do 135 i parzyste od 46 do 118 e, Widłakowa nieparzyste od 1 do 11 i parzyste od 2 do 8b, Wzgórze, Zakrzowiecka"
182,"Specjalny Ośrodek Szkolno - Wychowawczy Nr 3, Kraków Praska 64",Powszechny,Tak,"Do Groty, Łosiówka, Norymberska, Patynów, Pietrusińskiego, Praska nieparzyste od 27 i parzyste od 52, Tyniecka od 23 do 45, Zielna nieparzyste od 107"
183,"Zespół Szkół Łączności, Kraków Monte Cassino 31",Powszechny,Nie,"Biała Droga, Boczna, Bułhaka, Czarodziejska, Czechosłowacka, Dębnicka, Dworska, Generała Zielińskiego, Jaworowa, Kapelanka 1, 1 a, Księdza Pawlickiego, Mieszczańska, Mitkowskiego, Monte Cassino, Nowaczyńskiego ( bez Nr 1), Obrońców Poczty Gdańskiej, Praska nieparzyste od 1 do 23 i parzyste od 2 do 50, Szwedzka nieparzyste od 1 do 49 i parzyste od 36 do 50, Twardowskiego od 1 do 67, Tyniecka od 10a do 21, Wierzbowa, Wygrana, Zagonów, Zielna parzyste, nieparzyste od 31 do 105"
184,"Zespół Szkół Łączności, Kraków Monte Cassino 31",Powszechny,Nie,"Ceglarska, Kapelanka nieparzyste od 23 do 29 i parzyste od 2 do 40 , Salezjańska, Świętego Jacka, Twardowskiego od 68, Wyłom"
185,"Gimnazjum Nr 22, Kraków Skwerowa 3",Powszechny,Nie,"Bałuckiego, Dębowa, Konfederacka, Pułaskiego nieparzyste od 7 i parzyste od 10, Rolna, Szwedzka parzyste od 2 do 34, Skwerowa, Tyniecka od 1 do 10, Wasilewskiego, Zagrody, Zielna nieparzyste od 1 do 29"
186,"Gimnazjum Nr 22, Kraków Skwerowa 3",Powszechny,Nie,"Barska nieparzyste od 1 do 45 i parzyste od 2 do 42, Kilińskiego, Konopnickiej nieparzyste od 1 do 45 i parzyste od 2 do 36, Madalińskiego, Powroźnicza, Pułaskiego nieparzyste od 1 do 5 i parzyste od 2 do 8, Rynek Dębnicki, Różana, Sandomierska, Zamkowa, Zduńska"
187,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 2, Kraków Lipińskiego 2",Powszechny,Tak,Kobierzyńska parzyste od 16 do 102
188,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 2, Kraków Lipińskiego 2",Powszechny,Tak,"Kapelanka parzyste od 44, i nieparzyste 39 i od 57, Lipińskiego bez Nr 15, Miłkowskiego"
189,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 2, Kraków Lipińskiego 2",Powszechny,Tak,"Generała Rostworowskiego-Odry, Grota-Roweckiego nieparzyste od 1 do 33 i 8, Kamieniarska, Kobierzyńska nieparzyste od 1 do 89, Pychowicka"
190,"Gimnazjum Nr 21, Kraków Komandosów 29",Powszechny,Nie,"Barska parzyste od 44 i nieparzyste od 47, Komandosów nieparzyste od 11 do 29, Konopnickiej nieparzyste od 47 do 69, Ludwinowska, Na Ustroniu, Swoboda, Turecka, Zatorska"
191,"Gimnazjum Nr 21, Kraków Komandosów 29",Powszechny,Nie,Komandosów od 1 do 9
192,"Szkoła Podstawowa Nr 25, Kraków Komandosów 29",Powszechny,Nie,"Komandosów parzyste od 10 do 18, Słomiana nieparzyste od 1 do 15, Szwedzka od 51"
193,"Szkoła Podstawowa Nr 25, Kraków Komandosów 29",Powszechny,Nie,"Słomiana 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 22a, 24, ,"
194,"Szkoła Podstawowa Nr 25, Kraków Komandosów 29",Powszechny,Nie,"Słomiana 19, 19a, 21, 21b, 23, 25, 27,27a,27b,27c, Kapelanka 3, 3a, 3b, 5, 5a, 11, 13, 15,15a, Rozdroże"
195,"Gimnazjum Nr 24, Kraków Montwiłła - Mireckiego 29",Powszechny,Tak,"Dekarzy, Falowa, Gajowa, Goplana, Huculska, Irysowa, Ludwisarzy, Łukasińskiego, Micińskiego, Młynowa, Piaseckiego, Ruczaj parzyste od 2 do 20 i nieparzyste od 1 do 19, Światowida, Świebodzicka, Tokarska , Turonia parzyste, Tynkarzy, Zaborze, Zbrojarzy nieparzyste od 1 do 83 i parzyste, Zdunów od 19"
196,"Gimnazjum Nr 24, Kraków Montwiłła - Mireckiego 29",Powszechny,Tak,"Chłodna, Kościuszkowców, Kowalska, Krochmalniki, Miła, Montwiłła-Mireckiego, Na Zrębie, Niecała, Niemcewicza, Nowogródzka, Okrzei, Podhalańska parzyste, Rynek Fałęcki, Tęczowa, Zakopiańska nieparzyste od 73 do 97, Zdunów od 1 do 18, Żywiecka od 1 do 11"
197,"Centrum Aktywnego Wypoczynku Klub Sportowy ""Borek"" Kraków Żywiecka 13",Powszechny,Nie,"Borkowskie Błonia, Cesarza, Doktora Łuczyńskiego, Druhny Hanki, Goryczkowa, Jagodowa parzyste od 2 do 12 i nieparzyste od 11 do 19, Kępna, Krępy, Księdza Karabuły, Księdza Zagrodzkiego, Kułakowskiego, Obozowa parzyste (bez nr 2,8,12,16,16a,20,22,22a,24,24abc,38,38a), Starca, Solvaya, Szczerbińskiego, Ziobrowskiego, Żywiecka od 12"
198,"Centrum Sztuki Współczesnej ""Solvay"", Kraków Zakopiańska 62",Powszechny,Nie,"Borowinowa 77, Jeleniogórska, Jugowicka parzyste, Herberta 8,10,12,14, Marcika, Modra, Myślenicka nieparzyste od 47 do 77, Orzechowa, Podmokła, Sielska, Zakopiańska parzyste od 54 do 86 i nieparzyste od 99 do 145, Osiedle Zaułek Jugowicki, Zawiła nieparzyste od 1 do 49"
199,"Szkoła Podstawowa Nr 56, Kraków Fredry 65",Powszechny,Nie,"Chmielna nieparzyste, Chochołowska, Do Sanktuarium Bożego Miłosierdzia, Fredry, Goslara, Harcerska, Harcmistrza Millana ( bez nr 22), Kołodziejska, Kurasia, Kwietna, Lechicka, Malutka, Motarskiego, Myślenicka nieparzyste od 1 do 45 i parzyste od 2 do 32, Na Grządkach, Ogrodniki, Pasieczna, Pierzchówka parzyste, Pocztowa, Połomskiego, Porucznika Wąchały, Przykopy nieparzyste od 1 do 7, Przy Torze, Ratajska, Siostry Faustyny, Strumienna nieparzyste i parzyste od 2 do 14, Sucha, Sowia, Sobótka, Urocza, Włodarska, Zakopiańska parzyste od 2 do 52a, Żmichowskiej"
200,"Miejskie Przedsiębiorstwo Komunikacyjne, Kraków Brożka 3",Powszechny,Tak,"Bogdanowicza, Borsucza 1, 3, 3a i parzyste od 2 do 8, Brożka parzyste, Cegielniana nieparzyste od 1 do 45, Kędzierzyńska, Kołobrzeska, Koszalińska, Lasek, Nowotarska, Pienińska, Plac Łagiewnicki, Słupska, Szaniawskiego, Wałbrzyska, Zielonogórska"
201,"Miejskie Przedsiębiorstwo Komunikacyjne, Kraków Brożka 3",Powszechny,Tak,"Cegielniana parzyste od 2, Ciesielska, Deotymy, Do Wilgi, Hoffmanowej, Oraczy, Zakopiańska nieparzyste od 1 do 71"
202,Szkoła Podstawowa nr 158 Kraków Strąkowa 3a,Powszechny,Nie,"Borsucza nieparzyste od 5 i parzyste od 10, Cegielniana nieparzyste od 47, Kusocińskiego, Lipińskiego 15, Strąkowa, Odrzańska"
203,"Klub Kultury ""Kosocice"", Kraków Sztautyngera 5",Powszechny,Nie,"Barycka, Bednarska, Blacharska, Gacki, Gąsiorowskiego, Gruszczyńskiego nieparzyste od 1 do 31 i parzyste od 2 do 42, Hallera, Harcerzy Krakowskich, Hoborskiego, Kosocicka 73, 75, 75 a, 75 b, 79, 85, 85 a, 85 b, 85 c , nieparzyste od 87 do 105, Koszutki, Krzemieniecka nieparzyste od 35 i parzyste od 34, Lande, Niebieska od 11, Osterwy nieparzyste od 1 do 19 a, parzyste od 2 do 16, Pawłowskiego, Sczanieckiej, Szczegów, Sztaudyngera, Żelazowskiego"
204,"Klub Osiedlowy, Kraków Kuryłowicza 115",Powszechny,Nie,"Berdyczowska, Chanieckiej, Drużbackiej, Geologów, Gombrowicza,Gruszczyńskiego parzyste od 44 i nieparzyste od 33, Jarockiego, Jasiukowicza, Krzemieniecka nieparzyste od 1 do 33 i parzyste od 2 do 32,Kukiełek Golkowickich,Kuryłowicza nieparzyste od 71 i parzyste od 52, Malinowskiego, Na Obrydki, Pajdaka, Ratajskiego, Schőnborna"
205,Stowarzyszenie Rajska-Szkoła Kraków ul. Tuchowska 113,Powszechny,Nie,"Bełzy, Do Luboni od 61, Droga Rokadowa, Gdowska, Golkowicka, Grawerska, Kenara nieparzyste od 1 do 35, 35 a, parzyste od 2 do 18, Kuryłowicza nieparzyste od 1 do 69, parzyste od 2 do 50, Landaua nieparzyste, Matematyków Krakowskich nieparzyste od 1 do 27,27a, Miarowa nieparzyste od 37 i parzyste od 28, Na Pokusie, Nad Fosą, Orszańska, Osterwy nieparzyste od 21 i parzyste od 18, Rytownicza, Szczawnicka, Tuchowska nieparzyste od 39 i parzyste od 44"
206,"Szkoła Podstawowa Nr 147, Kraków Zbydniowicka 1",Powszechny,Nie,"Gołąba, Lei, Matematyków Krakowskich parzyste od 26 i nieparzyste od 57, Opiala, Szarskiego, Zbydniowicka"
207,"Klub Osiedlowy, Kraków Niewodniczańskiego 74",Powszechny,Nie,"Aleksandrowicza, Bogdanowskiego, Chałubińskiego nieparzyste od 85 i parzyste od 104, Chrzanowskiego, Czuchnowskiego, Doroszewskiego, Dróżka, Familijna, Gilowa, Gościnna, Grzepskiego, Herbowa, Iwaszkiewicza, Kenara parzyste od 20 i nieparzyste od 37, Koźmiana, Krzyżańskiego, Księdza Kajzera, Landaua parzyste, Łysogórska, Matematyków Krakowskich parzyste od 2 do 24, Mirtowa, Myślenicka nieparzyste od 189 i parzyste od 164, Niewodniczańskiego, Nowickiego, Parafialna, Profesora Bochnaka, Syreńskiego, Wróblowicka parzyste od 8 i nieparzyste od 11"
208,"Szkoła Podstawowa Nr 43, Kraków Myślenicka 112",Powszechny,Nie,"Babiego Lata, Borowinowa (bez 77), Chałubińskiego nieparzyste od 1 do 83 i parzyste od 2 do 102, Czyrniańskiego, Druskiennicka, Kąpielowa nieparzyste od 11 i parzyste od 12 ( bez 70), Krzyżanowskiego, Lasogórska, Lusińska, Łobodowskiego, Moszyńskiego, Muszyńskiego, Nad Wilgą, Neussera, Piłkarska, Pytlasińskiego, Rabczańska, Sanatoryjna, Starowiejska od 12, Wczasowa, Wypoczynkowa"
209,"Szkoła Podstawowa Nr 43, Kraków Myślenicka 112",Powszechny,Nie,"Gorczyna, Hypty, Iwonicka, Jar, Jelskiego, Jeździecka, Korczyńskiego, Kotowskiego, Lecznicza, Merkuriusza Polskiego, Michalika, Moczydło, Morozewicza, Myślenicka nieparzyste od 79 do 187 i parzyste od 62 do 162, Nałęczowska, Niedźwiedziny, Opalińskiego, Perłowa, Pinocci, Podgórki od 26, Podhalnie, Przyrodnicza, Rymanowska, Sawiczewskich, Siarczanogórska, Siarczki, Srzednickiego, Stawisko, Stepowa parzyste od 18 i nieparzyste od 9, Szybisko, Topiarnia, Truskawiecka, Uzdrowiskowa, Warszewicza, Wierchowa, Wróblowicka parzyste od 2 do 6 i nieparzyste od 1 do 9, Zaruskiego"
210,"Filia Szkoły Podstawowej Nr 97, Kraków Armii Kraków 76",Powszechny,Tak,"Armii Kraków, Białostocka, Bieszczadzka, Ciechocińska, Ciepła, Ciołkosza, Goździkowa, Horaka, Hubalczyków, Jasielska, Jugowicka nieparzyste, Kaliska, Kąpielowa nieparzyste od 1 do 9 i parzyste od 2 do 10, Kierzkowskiego, Kokosowa, Kolejarzy, Krośnieńska, Kustronia, Nowodworskiego, Owocowa, Siarczana, Szumca, Szyllinga, Tulipanowa, Zakopiańska parzyste od 88 do 194"
211,"Szkoła Podstawowa Nr 97, Kraków Doktora Judyma 10",Powszechny,Nie,"Bastionowa, Bluszczowa, Borkowska, Czajkowskiego, Czołgistów, Dębickiego, Fałęcka, Janowskiego, Kadłubka, Kluka, Księżycowa, Marusarzówny, Narvik, Nenko, Pustynna, Siostry Zygmunty Zimmer, Skrzetuskiego, Szmaragdowa, Wichrowa, Zawiła parzyste od 2 do 40, Żaków Krakowskich"
212,"Szkoła Podstawowa Nr 97, Kraków Doktora Judyma 10",Powszechny,Nie,"Amarantowa, Banachiewicza, Bellerta, Boratyńskiego, Chęcińska, Chojnicka, Ciechanowska, Czerska, Doktora Judyma, Eibischa, Forteczna, Gadomskiego, Gałęzowskiego, Gumowskiego, Homolacsa, Kępińskiego, Kopernickiego, Korpala od 21, Kostrzewskiego, Krzyżtoporska, Księdza Dercza, Księdza Mączyńskiego, Kwiatowa, Łódzka, Maklakiewicza, Miodońskiego, Profesora Bartla 19,19A,19B,19C, Pronaszków, Rabsztyńska, Radnickiego, Rdzawa, Rutkowskiego, Tochowicza, Umińskiej, Wachholza, Warowna, Welońskiego, Zagaje, Zakopiańska nieparzyste od 147 do 181 a, b, c, e, Zawiszy"
213,"Szkoła Podstawowa Nr 134, Kraków Kłuszyńska 46",Powszechny,Nie,"Chorzowska, Dębskiego, Dzikiej Róży, Inicjatywy Lokalnej, Księdza Maja, Kłuszyńska, Libertowska nieparzyste od 1 i parzyste od 2 do 6, Miejscowa, Opatkowicka, Petrażyckiego parzyste od 2 do 54 i nieparzyste od 1 do 39 b, Poronińska, Smoleńskiego, Solówki parzyste, Starowiejska do 11, Taklińskiego, Torowa, Ważewskiego, Zakarczmie, Zakopiańska parzyste od 196 i nieparzyste od 183, Zembrzycka"
214,"Szkoła Podstawowa Nr 27, Kraków Podedworze 16",Powszechny,Nie,"Łużycka nieparzyste od 43 do 53 i 71, 71a,73, 73 a,73 c, Podedworze parzyste od 2 do 4"
215,"Szkoła Podstawowa Nr 27, Kraków Podedworze 16",Powszechny,Nie,"Bochenka, Podedworze 6, 6 a, 8, 10, 10 b, 12"
216,"Szkoła Podstawowa Nr 27, Kraków Podedworze 16",Powszechny,Nie,"Łużycka 55, 57, 63, 65, 67, 67 a, 69"
217,"XXIX Liceum Ogólnokształcące, Kraków Cechowa 57",Powszechny,Nie,"Kordiana, Tuchowska parzyste od 2 do 34 i nieparzyste od 1 do 27"
218,"XXIX Liceum Ogólnokształcące, Kraków Cechowa 57",Powszechny,Nie,"Błogosławionej Franciszki Siedliskiej, Cechowa nieparzyste od 57 i parzyste od 72, Gwarna, Kanarkowa, Kijanki, , Łużycka parzyste od 42 i nieparzyste od 75, Nazaretańska, Pochyła, Podedworze parzyste od 14, Rodziny Jędów, Tuchowska parzyste od 36 do 42 i nieparzyste od 29 do 37, Ukośna, Urwana, Widnokrąg, Zimna"
219,"XXIX Liceum Ogólnokształcące, Kraków Cechowa 57",Powszechny,Nie,"Cechowa nieparzyste od 1 do 55 i parzyste od 2 do 70, Grzybowa, Łężce, Miarowa nieparzyste od 1 do 35 i parzyste od 2 do 16,16a, Myślenicka parzyste od 42 do 60, Podgórki nieparzyste od 1 do 25 i parzyste od 2 do 22, Stepowa nieparzyste od 1 do 7 i parzyste od 2 do 16, Stojałowskiego nieparzyste od 33 do 41a, Soboniowicka, Szarych Szeregów, Wyrwa, Wyżynna, Zdrojowa"
220,"Przedszkole Samorządowe Nr 33, Kraków Rżącka 1",Powszechny,Nie,"Badurskiego 1, 9, Biernata z Lublina, Błotna, Ciasna, Czajna, Kalinowa, Kliniec, Kosocicka parzyste od 72, Księdza Dźwigońskiego, Krystyna z Ostrowa, Łamana, Mokra, Niebieska nieparzyste od 1 do 9 i parzyste od 2 do 10, Obronna od 9, Podedworze nieparzyste, Podlesie, Powały z Taczewa, Przewiewna, Podwórkowa, Przy Kuźni, Rżącka, Sadka, Słona Woda nieparzyste, Snozy, Sporna, Szpakowa, Zyndrama z Maszkowic"
221,"Zespół Szkół Elektrycznych Nr 1, Kraków Kamieńskiego 49",Powszechny,Nie,"Abrahama nieparzyste, Andricia, Bławatkowa, Buraczana, Dauna, Gipsowa, Górska, Heltmana, Kadena-Bandrowskiego, Kamieńskiego od 21, Lecha, Lisa-Kuli, Lubuska, Łuczników,Malborska parzyste od 2 do 52 i nieparzyste od 1 do 63, Mieczników, Nadzieja, Nowosądecka 22, Pańska od 1 do 42, Pierackiego, Siemomysła parzyste, Stoigniewa, Szukiewicza, Tarnowska, Uśmiech, Wielicka nieparzyste od 105 do 113, 113a, 115, Zana"
222,"Gimnazjum Nr 27, Kraków Malborska 98",Powszechny,Nie,"Albańska nieparzyste od 1 do 5 i parzyste od 2 do 8, Gryglewskiego, Krawiecka, Łabędzia, Makowa, Malborska nieparzyste od 65 i parzyste od 54 , Mochnackiego, Pańska od 43, Poprzeczna, Skowronia, Sławka 41, 43, 45, Sportowa, Generała Sułkowskiego, Szczęśliwa, Szkolna, Zabawa, Zmartwychwstania Pańskiego"
223,"Gimnazjum Nr 27, Kraków Malborska 98",Powszechny,Nie,"Andrychowska, Gromady Grudziąż, Karpińskiego, Łapanowska, Łużycka od 1 do 41c, Marcowa, Monterska, Na Łuku, Ondraszka, Ossowskiego, Podgwiezdna, Sempołowskiej, Sławka 54, 56, 58, 62, Turniejowa od 1 do 60, Wspólna od 22"
224,"Gimnazjum Nr 27, Kraków Malborska 98",Powszechny,Nie,"Bystra, Gminna, Jastrzębia, Klonowica, Kotsisa, Kryształowa, Pszenna, Puszkarska, Generała Roi, Sławka nieparzyste od 1 do 39 i parzyste od 2 do 52, Strumienna parzyste od 16, Wspólna od 1 do 21, Zielona"
225,"Świetlica Miejskiego Przedsiębiorstwa Komunikacyjnego, Kraków Sławka 10",Powszechny,Nie,Heila
226,"Przedszkole Samorządowe Nr 32, Kraków Czarnogórska 16",Powszechny,Nie,"Białoruska 2, 4, 6, 8,8b, 10, Czarnogórska 15, Serbska 1, 3, Włoska 1, 3, 5, 7, 9, 11"
227,"Przedszkole Samorządowe Nr 32, Kraków Czarnogórska 16",Powszechny,Nie,"Białoruska 15, 17, 19, Lirników, Nowosądecka Nr 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 72, 74, 78, 80, 82, Poturalskiego, Trybuny Ludów"
228,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, Kraków Czarnogórska 14",Powszechny,Nie,"Czarnogórska 1, 3, 5, 7, 9, 9 b, Macedońska 6, Serbska 2, 4, 14, Włoska 8, 13, 15, 17, 19"
229,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, Kraków Czarnogórska 14",Powszechny,Nie,"Albańska nieparzyste od 7 i parzyste od 10, Algierska, Czarnogórska 2, 4, 4 c, 6, 8, Estońska 4 i od 6 do 21,40, Laszczki, Niepokólczyckiego, Trawniki, Wilgotna, Wolności"
230,"Gimnazjum Nr 28, Kraków Bujaka 15",Powszechny,Nie,"Bujaka, Chmielna parzyste, Daliowa, Generała Filipowicza, Herberta (bez Nr 8, 10, 12, 14), Łowienicka, Myślenicka parzyste od 34 do 40, Okopowa, Pagórkowa, Stojałowskiego 3, 5, 7, Storczykowa, Żaka"
231,"Gimnazjum Nr 28, Kraków Bujaka 15",Powszechny,Nie,"Porucznika Halszki, Wysłouchów 3,3a,5"
232,"Gimnazjum Nr 28, Kraków Bujaka 15",Powszechny,Nie,Witosa
233,"Gimnazjum Nr 28, Kraków Bujaka 15",Powszechny,Nie,Turniejowa nieparzyste od 59 i parzyste od 60 (bez 72)
234,"Gimnazjum Nr 28, Kraków Bujaka 15",Powszechny,Nie,"Wysłouchów nieparzyste od 11 do 43, 47, 49, 49a, 51,51a,53,53a,55, Turniejowa 72"
235,"Szkoła Podstawowa Nr 162, Kraków Stojałowskiego 31",Powszechny,Tak,"Bojki, Wysłouchów 44, 46"
236,"Szkoła Podstawowa Nr 162, Kraków Stojałowskiego 31",Powszechny,Tak,Wysłouchów parzyste od 16 do 42
237,"Szkoła Podstawowa Nr 162, Kraków Stojałowskiego 31",Powszechny,Tak,"Stojałowskiego 9,11 i nieparzyste od 15 do 29, Wysłouchów parzyste od 2 do 14"
238,"Szkoła Podstawowa Nr 55, Kraków Dobczycka 20",Powszechny,Tak,Gołaśka nieparzyste od 1 do 41
239,"Szkoła Podstawowa Nr 55, Kraków Dobczycka 20",Powszechny,Tak,"Beskidzka parzyste, Dobczycka, Gołaśka parzyste od 2 do 20, Przekątna, Sanocka"
240,"Szkoła Podstawowa Nr 55, Kraków Dobczycka 20",Powszechny,Tak,"Beskidzka nieparzyste, Harcmistrza Millana Nr 22, Madera, Malwowa, Pierzchówka nieparzyste, Przykopy 2, 6 i od 11, Tarnobrzeska, Sas-Zubrzyckiego"
241,Filia Szkoły Podstwowej nr 124 Kraków Sucharskiego 36,Powszechny,Tak,"Agatowa, Ametystowa, Domagały, Magazynowa 5, Nad Drwiną, Nefrytowa, Opalowa, Osiedle Kolejowe, Przełazek, Półłanki parzyste od 2 do 74 (bez nr 26), Sucharskiego, Taborowa, Topazowa, Złocieniowa"
242,"Szkoła Podstawowa Nr 124, Kraków Weigla 2",Powszechny,Tak,"Czarnochowicka, Flanka, Gerberowa, Grzecha, Habeli, Hiacyntowa, Hoyera, Jasieńskiego, Jędrzejczyka, Kameliowa, Kokotowska, Księdza Kusia, Kwatery, Letnia, Mogiłki, Ochocza, Okręglik, Pochwalskiego, Potrzask, Przebiśniegów, Przylaszczki, Pruszyńskiego, Schulza, Stępnia, Stolarza, Szymkiewicza, Tańskiego, Wojciecha z Brudzewa, Zarosie, Zarzyckiego"
243,"Szkoła Podstawowa Nr 124, Kraków Weigla 2",Powszechny,Tak,"Bierkowskiego, Bieżanowska parzyste od 234 do 248, Gardowskiego, Kiepury, Kluszewskiego, Kolonijna, Korepty od 1 do 22 Krzymuskiego, Kurpińskiego, Księdza Prałata Łaczka, Madejówka, Mała Góra nieparzyste, Małka, Nad Serafą, Na Jazkach, Nowaka, Potrzebowskiego, Przecinek, Rakuś, Rygiera, Smolenia, Stryjeńskiego, Szastera, Świdzińskiego, Wielicka parzyste od 248,"
